GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
taskmanager,com.faculdade.taskmanager.exception,GlobalExceptionHandler.ErrorResponse.ErrorResponseBuilder,14,42,0,0,0,1,1,7,1,7
taskmanager,com.faculdade.taskmanager.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
taskmanager,com.faculdade.taskmanager.exception,GlobalExceptionHandler.ErrorResponse,202,37,40,0,1,6,29,7,9,7
taskmanager,com.faculdade.taskmanager.exception,GlobalExceptionHandler,35,62,0,0,14,22,2,4,2,4
taskmanager,com.faculdade.taskmanager.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
taskmanager,com.faculdade.taskmanager.controller,CategoryController,39,0,0,0,9,0,6,0,6,0
taskmanager,com.faculdade.taskmanager.controller,TaskController,0,54,0,0,0,12,0,8,0,8
taskmanager,com.faculdade.taskmanager,TaskManagerApplication,5,3,0,0,2,1,1,1,1,1
taskmanager,com.faculdade.taskmanager.service,CategoryService,2,161,3,7,0,39,3,13,0,11
taskmanager,com.faculdade.taskmanager.service,TaskService,0,213,0,10,0,54,0,18,0,13
taskmanager,com.faculdade.taskmanager.model,Category.CategoryBuilder,11,35,0,0,0,1,1,6,1,6
taskmanager,com.faculdade.taskmanager.model,Task.TaskBuilder,20,56,0,0,0,1,1,9,1,9
taskmanager,com.faculdade.taskmanager.model,Category,172,43,38,0,1,7,25,9,6,9
taskmanager,com.faculdade.taskmanager.model,TaskStatus,0,27,0,0,0,5,0,1,0,1
taskmanager,com.faculdade.taskmanager.model,Task,285,72,64,0,4,11,39,15,7,15
taskmanager,com.faculdade.taskmanager.dto,CategoryRequestDTO,98,17,22,0,0,3,15,5,4,5
taskmanager,com.faculdade.taskmanager.dto,CategoryResponseDTO,169,25,32,0,3,3,26,4,10,4
taskmanager,com.faculdade.taskmanager.dto,TaskResponseDTO.TaskResponseDTOBuilder,21,63,0,0,0,1,1,10,1,10
taskmanager,com.faculdade.taskmanager.dto,TaskResponseDTO,331,55,70,0,1,9,47,10,12,10
taskmanager,com.faculdade.taskmanager.dto,TaskRequestDTO,199,38,46,0,0,6,27,11,4,11
taskmanager,com.faculdade.taskmanager.dto,CategoryResponseDTO.CategoryResponseDTOBuilder,10,35,0,0,0,1,1,6,1,6
taskmanager,com.faculdade.taskmanager.config,OpenApiConfig,31,0,0,0,11,0,2,0,2,0
